sigprofiler	None_frobenius	None_kullback-leibler	None_itakura-saito	random_frobenius	random_kullback-leibler	random_itakura-saito	nndsvd_frobenius	nndsvd_kullback-leibler	nndsvd_itakura-saito	nndsvda_frobenius	nndsvda_kullback-leibler	nndsvda_itakura-saito	nndsvdar_frobenius	nndsvdar_kullback-leibler	nndsvdar_itakura-saito
['SBS87']	['SBS13', 'SBS21', 'SBS52']	['SBS25']	['SBS13']	['SBS1', 'SBS54']	['SBS5']	['SBS5']	['SBS5', 'SBS13']	['SBS5', 'SBS7d', 'SBS10a']	['SBS47']	['SBS5', 'SBS17a']	['SBS5', 'SBS59']	['SBS1', 'SBS5', 'SBS48']	['SBS5', 'SBS13']	['SBS7d', 'SBS13']	['SBS5', 'SBS13']
['SBS5']	['SBS5']	['SBS84']	['SBS3']	['SBS1', 'SBS5', 'SBS33', 'SBS60']	['SBS1', 'SBS3']	['SBS5']	['SBS5', 'SBS13']	['SBS5', 'SBS13']	['SBS5', 'SBS13', 'SBS27']	['SBS5']	['SBS5', 'SBS8', 'SBS84']	['SBS5', 'SBS38']	['SBS1', 'SBS28', 'SBS58']	['SBS5', 'SBS13', 'SBS21']	['SBS20']
['SBS86']	['SBS5', 'SBS32']	['SBS32', 'SBS51']	['SBS5', 'SBS28']	['SBS39']	['SBS10a']	['SBS1', 'SBS5']	['SBS1', 'SBS5', 'SBS19']	['SBS39']	['SBS5', 'SBS27', 'SBS91']	['SBS5']	['SBS1', 'SBS32']	['SBS30', 'SBS51']	['SBS1', 'SBS17a', 'SBS19']	['SBS5']	['SBS59']
['SBS10a']	['SBS5']	['SBS7d', 'SBS13']	['SBS50']	['SBS57']	['SBS5']	['SBS42']	['SBS39', 'SBS50']	['SBS1', 'SBS31']	['SBS85']	['SBS5', 'SBS50', 'SBS51']	['SBS5', 'SBS28', 'SBS58']	['SBS5', 'SBS13', 'SBS17a', 'SBS17b']	['SBS5', 'SBS43']	['SBS39']	['SBS39']
['SBS22']	['SBS17a', 'SBS19']	['SBS5', 'SBS48', 'SBS60']	['SBS1']	['SBS13', 'SBS31', 'SBS59']	['SBS7c']	['SBS15']	['SBS85']	['SBS1', 'SBS59', 'SBS85']	['SBS39']	['SBS1', 'SBS5', 'SBS21']	['SBS5', 'SBS48', 'SBS60']	['SBS1']	['SBS39', 'SBS51']	['SBS85']	['SBS85']
['SBS54']	['SBS39']	['SBS5']	['SBS5', 'SBS19']	['SBS1', 'SBS5']	['SBS1', 'SBS17a', 'SBS19']	['SBS17b']	['SBS5']	['SBS5', 'SBS32', 'SBS34']	['SBS21', 'SBS33']	['SBS17b']	['SBS5']	['SBS5']	['SBS5', 'SBS32']	['SBS51']	['SBS51']
['SBS5', 'SBS18']	['SBS1', 'SBS5', 'SBS21']	['SBS5', 'SBS39']	['SBS7d']	['SBS5']	['SBS5', 'SBS13', 'SBS59']	['SBS31']	['SBS1', 'SBS10b', 'SBS33']	['SBS5', 'SBS39']	['SBS1', 'SBS51']	['SBS1', 'SBS10b', 'SBS33']	['SBS33']	['SBS5', 'SBS88']	['SBS5', 'SBS10a', 'SBS13']	['SBS1', 'SBS10b', 'SBS33']	['SBS60']
['SBS1', 'SBS16', 'SBS45']	['SBS35']	['SBS1', 'SBS10b']	['SBS33', 'SBS49', 'SBS55']	['SBS85']	['SBS1', 'SBS5', 'SBS51']	['SBS5']	['SBS39']	['SBS1', 'SBS5', 'SBS59']	['SBS1', 'SBS7d', 'SBS19']	['SBS5']	['SBS1', 'SBS5', 'SBS10b']	['SBS1', 'SBS5', 'SBS49']	['SBS39']	['SBS7d', 'SBS21']	['SBS7d']
['SBS1', 'SBS5', 'SBS43']	['SBS1', 'SBS5', 'SBS30']	['SBS5', 'SBS22']	['SBS5', 'SBS25']	['SBS5']	['SBS33', 'SBS57']	['SBS5']	['SBS87']	['SBS1', 'SBS32']	['SBS1', 'SBS5']	['SBS1', 'SBS54']	['SBS39']	['SBS39', 'SBS57']	['SBS39']	['SBS87']	['SBS16']
['SBS5', 'SBS84']	['SBS5']	['SBS21']	['SBS1', 'SBS7d', 'SBS51']	['SBS1', 'SBS10a', 'SBS10b', 'SBS33']	['SBS5', 'SBS27']	['SBS86']	['SBS17b']	['SBS1', 'SBS54']	['SBS54']	['SBS5', 'SBS34']	['SBS1', 'SBS7d']	['SBS1', 'SBS50']	['SBS5']	['SBS48', 'SBS54', 'SBS60']	['SBS5']
['SBS5', 'SBS13', 'SBS52']	['SBS1', 'SBS5']	['SBS5', 'SBS28']	['SBS1', 'SBS5', 'SBS17a', 'SBS21']	['SBS5', 'SBS13', 'SBS21', 'SBS52']	['SBS17a', 'SBS17b', 'SBS31']	['SBS1', 'SBS5', 'SBS22']	['SBS39']	['SBS5', 'SBS33', 'SBS60']	['SBS60']	['SBS10a']	['SBS29', 'SBS51']	['SBS5']	['SBS39']	['SBS1', 'SBS32']	['SBS5']
